dens,nodes,degree_max,degree_mean,degree_median,degree_var,CC_max,CC_mean,CC_var,edge_wt_mean,edge_wt_max,edge_wt_var,DC_mean,DC_var,DC_max,sv1,sv2,sv3,complex
1.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.9823096666666666,0.9950889999999999,8.165573422222074e-05,2.0,0.0,2.0,1.9646471625063833,0.9950890042666676,0.9695581582397158,1.0
1.0,7.0,6.0,6.0,6.0,0.0,1.0,1.0,0.0,0.8975584285714285,0.999899,0.022286505526530616,6.0,0.0,6.0,5.423700623827947,1.202172856674078,1.0611687946443975,1.0
1.0,6.0,5.0,5.0,5.0,0.0,1.0,1.0,0.0,0.9925138,0.999983,3.1419654826666536e-05,5.0,0.0,5.0,4.962598011983794,1.0054151061059926,1.0019612359522287,1.0
1.0,4.0,3.0,3.0,3.0,0.0,1.0,1.0,0.0,0.9173505000000001,0.999994,0.010060392921250008,3.0,0.0,3.0,2.7586663765969925,1.093660356608306,0.947941991658524,1.0
1.0,5.0,4.0,4.0,4.0,0.0,1.0,1.0,0.0,0.36029789999999995,0.6554449999999999,0.040688021075689994,4.0,0.0,4.0,1.587796914141062,0.7397280808618938,0.49259200000000003,1.0
1.0,5.0,4.0,4.0,4.0,0.0,1.0,1.0,0.0,0.8038892000000001,0.999901,0.03374675258695999,4.0,0.0,4.0,3.2447096886410662,1.234266830319501,0.9730286561750244,1.0
1.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.511066,0.954908,0.11818087243466664,2.0,0.0,2.0,1.1095902391465842,1.0181687401700734,0.09142149897651096,1.0
1.0,5.0,4.0,4.0,4.0,0.0,1.0,1.0,0.0,0.9973023,0.9999979999999999,9.24281861e-06,4.0,0.0,4.0,3.989218076507881,1.0013724855213244,1.0008572255286399,1.0
1.0,5.0,4.0,4.0,4.0,0.0,1.0,1.0,0.0,0.9875746,0.9999459999999999,0.00045642188804,4.0,0.0,4.0,3.9506078496440713,1.028658623916863,1.0004246847832932,1.0
1.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.704691,0.996451,0.15318788929066665,2.0,0.0,2.0,1.4657066468819324,1.3143255096026019,0.15138113727933059,1.0
1.0,16.0,15.0,15.0,15.0,0.0,1.0,1.0,0.0,0.47508129666666665,0.999985,0.11503856386025682,15.0,0.0,15.0,8.01844370667475,3.390333424370446,1.4637880898658782,1.0
1.0,4.0,3.0,3.0,3.0,0.0,1.0,1.0,0.0,0.8621356666666666,0.999044,0.07318379394688887,3.0,0.0,3.0,2.6211786925700356,1.36632363578351,0.9967456821393342,1.0
1.0,4.0,3.0,3.0,3.0,0.0,1.0,1.0,0.0,0.7799683333333333,0.9988950000000001,0.016923206030555565,3.0,0.0,3.0,2.354346465928718,1.0378397741117642,0.7494456461349481,1.0
1.0,6.0,5.0,5.0,5.0,0.0,1.0,1.0,0.0,0.8406037999999998,0.9996200000000001,0.05300905485549334,5.0,0.0,5.0,4.255772796774611,1.2233974022523386,1.1962593278651206,1.0
1.0,8.0,7.0,7.0,7.0,0.0,1.0,1.0,0.0,0.9842816428571428,0.999717,0.00015675370180102014,7.0,0.0,7.0,6.890171124451243,1.0269744025769905,1.0088823884560651,1.0
1.0,5.0,4.0,4.0,4.0,0.0,1.0,1.0,0.0,0.5030281000000001,0.9874059999999999,0.15370068505208997,4.0,0.0,4.0,2.2580362200714874,1.699994306939088,0.3381156885030959,1.0
1.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.9875866666666667,0.9965440000000001,7.47537528888895e-05,2.0,0.0,2.0,1.9751984995713765,0.9998344146900863,0.97536408488129,1.0
0.8666666666666667,6.0,5.0,4.333333333333333,4.5,0.5555555555555555,1.0,0.8999999999999999,0.009999999999999995,0.5207426384615385,0.998397,0.06839981340278391,4.516666666666667,0.10722222222222218,5.0,2.4510435900181093,1.3825009575622138,0.772713612528237,1.0
1.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.628894,0.714739,0.003885421516666669,2.0,0.0,2.0,1.2599238882383736,0.7172723165999159,0.542651571638458,1.0
1.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.9641966666666667,0.988642,0.0008959904275555548,2.0,0.0,2.0,1.928698759195803,1.0068279568272178,0.9218708023685852,1.0
0.6666666666666666,3.0,2.0,1.3333333333333333,1.0,0.2222222222222222,0.0,0.0,0.0,0.41582650000000004,0.6829350000000001,0.07134695077225002,1.6666666666666667,0.2222222222222222,2.0,0.6989400959660278,0.6989400959660278,0.0,1.0
0.8571428571428571,8.0,7.0,6.0,6.0,1.5,1.0,0.9285714285714286,0.008503401360544217,0.520862,0.996828,0.11229621371325,6.321428571428571,0.15433673469387765,7.0,3.5832689373711255,1.7948410324654849,0.979666564456871,1.0
0.75,9.0,7.0,6.0,7.0,2.888888888888889,1.0,0.8835978835978835,0.008118473726939338,0.9652947407407407,1.0,0.013861294246858712,6.555555555555555,0.110859158478206,7.0,6.212827287444881,2.133719837423753,1.5447684025409854,1.0
1.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.4832416666666666,0.817196,0.055768021813555564,2.0,0.0,2.0,1.0144036593427532,0.8172187688586142,0.19718489048413904,1.0
0.6785714285714286,8.0,6.0,4.75,5.0,1.6875,1.0,0.6749999999999999,0.08604166666666666,0.9710448421052632,1.0,0.0028070896952908588,5.1375,0.13171875000000005,5.75,4.983302341291011,2.236729326720267,1.3809783879965885,1.0
